epoch,train_loss,train_acc,validation_loss,validation_acc
1,6.989439089576919,0.001149891774891775,80.85615015029907,0.0
2,6.81408978334237,0.0028070887445887445,6.786587744951248,0.0048828125
3,6.516961602937608,0.007389745670995671,6.511988192796707,0.01171875
4,6.149220388689082,0.0149316829004329,10.39312145113945,0.005859375
5,5.76953978455944,0.027580492424242424,5.9389775693416595,0.015625
6,5.433582451436426,0.044067911255411256,6.068404287099838,0.017578125
7,5.1455368231901355,0.06579748376623376,5.5051901042461395,0.04164162662345916
8,4.888668309300493,0.08781452922077922,5.755573868751526,0.05629006412345916
9,4.653337243831519,0.1116409632034632,6.045258790254593,0.04359475162345916
10,4.420462226712859,0.13599161255411255,5.89339953660965,0.05433693912345916
11,4.198777682079381,0.16164434523809523,17.626006364822388,0.001953125
12,4.151896490163101,0.1685436958874459,5.696584135293961,0.0703125
13,3.8334886140121527,0.2090435606060606,7.48790380358696,0.0956280049867928
14,3.6054645227147386,0.24007372835497837,5.014295399188995,0.10894931899383664
15,3.3917883066903975,0.2681953463203463,5.05811220407486,0.11293068912345916
16,3.1776837982656634,0.3018465909090909,8.094218969345093,0.10672075324691832
17,2.9723403495111507,0.3334178841991342,7.494980961084366,0.05691606574691832
18,2.76232342273642,0.36816829004329005,7.787181317806244,0.06207431899383664
19,2.5538159980402364,0.40345982142857145,21.325496196746826,0.0029296875
20,2.3804850935677946,0.4328666125541126,5.583907574415207,0.13496594596654177
21,2.144425968458126,0.4785748106060606,11.826558768749237,0.0936748799867928
22,1.9495716696177727,0.5145258387445888,8.194190949201584,0.08035356574691832
23,1.7569597328638102,0.5542309253246753,7.4030638337135315,0.10601963149383664
24,1.5561290450426408,0.5966247294372294,6.100215017795563,0.13789563346654177
25,1.3457278652495637,0.642282196969697,78.6163387298584,0.0985576924867928
26,1.174328618977235,0.6815645292207793,6.711368709802628,0.1307842549867928
27,0.9920160529804436,0.7261059253246753,5.911933451890945,0.17821013648062944
28,0.8348506338152535,0.762885551948052,9.362726032733917,0.12129407096654177
29,0.7017257131023324,0.7985998376623377,11.365877598524094,0.11453325324691832
30,0.5946246377349674,0.8274824134199135,9.046642750501633,0.10379106574691832
31,0.1895738967827388,0.9556107954545454,5.654966026544571,0.23086939193308353
32,0.08309388972488252,0.9854741612554112,5.972916424274445,0.22243088949471712
33,0.06001470506783913,0.9909530573593074,5.967229455709457,0.21364182699471712
34,0.04663985559023368,0.9941152597402597,5.838565140962601,0.21727263648062944
35,0.03953776475912952,0.9957386363636364,6.004784196615219,0.23450020048767328
36,0.034032500123210026,0.9967701569264069,5.98692461848259,0.23184595443308353
37,0.029293966309260174,0.997852408008658,7.236544370651245,0.22305689193308353
38,0.027621440225567073,0.9980215097402597,5.914805501699448,0.23414963949471712
39,0.023652326575182056,0.9984949945887446,6.0055974423885345,0.23477564193308353
40,0.022579286087735746,0.9988501082251082,5.999335557222366,0.23903245199471712
41,0.02061345375765889,0.9989177489177489,5.993139415979385,0.24419070594012737
42,0.01884786690105543,0.9991714015151515,6.0278734266757965,0.23833133094012737
43,0.016955165397597567,0.9994419642857143,6.446132272481918,0.23575220443308353
